iban,bank,name,ammount
ES0326802394183753840011,Cajamar,Abril Flavia Ribas Solano,9393
ES6059322899871017574641,Deutsche Bank,Isabela Losada Arana,5574
ES6832144710593664895773,Deutsche Bank,Armida Boada Sola,6440
ES0696663099846671864474,Sabadell,Modesta Inés Hierro Montenegro,8798
ES2449356817282198610572,IberCaja,Félix Ramírez-Frías,2006
ES2023607943449741661160,IberCaja,Jordán Morante Báez,1632
ES1092433706187669105962,Santander,Iker Ibañez Marquez,4486
ES0665825404662630291299,Bankinter,Purificación del Ugarte,7879
ES7201637027159536182222,IberCaja,Angelino Juan Martí,4319
ES2092889226056929048205,Sabadell,Juan Bautista Barrio Quintana,2073
ES7463543534529219455234,IberCaja,Raúl Yago Reguera Huertas,2438
ES6701911453060302351881,Santander,Anna Contreras Donoso,4408
ES8816686933237120082989,BancaMarch,Nereida Alba Ferrera,7398
ES3927923544146117578300,ING,Ariel Querol Chico,1424
ES2945556592226444323558,BBVA,Mohamed Montesinos,5704
ES7832904964626852080463,Cajamar,Daniela Raya Juan,5394
ES9529274557029296359792,Bankinter,Jose Miguel Aparicio Villanueva,4669
ES0514785058686428052165,Kutxa,Xiomara Amores Barros,5518
ES3892952462275719965774,Cooperativo,Nieves de Esteban,6933
ES4437338402599425010459,Santander,Evaristo Nicolás Perez,7343
ES4091697589348313850325,Cooperativo,Almudena Dueñas Salazar,9249
ES3427268659427884548184,Cooperativo,Natividad Soriano Torrecilla,5359
ES7830406740272135194728,BancaMarch,Dafne Abigaíl Cabañas Company,2345
ES9221415933390842602016,CaixaBank,Florentina Raya,5289
ES1277631863476038598426,Deutsche Bank,Lino Jesús Mateu Blanes,3078
ES1942443425720462584677,CecaBank,Felipa Ayllón Quintero,9792
ES7957188300396305609713,CecaBank,Jordana Jordá Santos,2064
ES1344285432493519527706,CecaBank,Florentino Bernal Pérez,9731
ES4607721297612782750537,Cooperativo,Olimpia Crespo Velasco,9275
ES8601120058619791703117,IberCaja,Amado Correa Castrillo,6342
ES7985960440643481725088,IberCaja,Aurelia Crescencia Madrigal Uría,5949
ES7968940329936142675303,Kutxa,Ciríaco Rubio,2045
ES7991155825843911491289,Sabadell,Manuel Barón Cabeza,4823
ES5455226383627105922515,IberCaja,Rogelio Cerro Álamo,1183
ES5128417516621114204110,Kutxa,Roxana Pinedo Gomila,9519
ES6751583053893788257909,BBVA,Ibán Dalmau Camacho,1018
ES5522332459220245259950,ING,Gabino Seco Ramos,7178
ES7700303485929073098980,ING,Espiridión Ortiz Santamaría,8857
ES4636836386590740952740,BBVA,Maxi Tello Cabeza,5294
ES1034379318815477905105,CaixaBank,Ovidio Roda Ferrández,9544
ES1360793346370174665846,IberCaja,Pacífica Gascón Isern,1078
