iban,bank,name,ammount
ES0804244907769990166862,Kutxa,Hortensia Salcedo Rivera,2106
ES9539872841006101021005,BancaMarch,Asdrubal Ferreras Rosales,6214
ES0535564532189541575255,ING,Martin Collado Fernandez,1016
ES5360162492329260879099,Cajamar,Alex Américo Ferrero Armas,1816
ES2163736245419357720666,CecaBank,Rocío Leiva-Márquez,6871
ES3192477556313712002936,Bankinter,Renata de Gual,4132
ES0646606933105100402084,ING,Saturnino Valcárcel Alonso,6884
ES4584139622750349064569,BancaMarch,Ibán Hoyos,6311
ES8350585943683746585920,ING,Abril Ayllón Piñeiro,4445
ES4800767701070077933254,Cooperativo,Perlita Barranco,6048
ES5851732474798459336810,Sabadell,Hortensia Grande-Heras,968
ES4408457704323356969370,Deutsche Bank,Graciela Montserrat Bellido Borrell,3969
ES7732372205265517431022,CaixaBank,Julián Alvarez,2564
ES1788310947402412684798,BancaMarch,Florentino Salom Carbonell,5197
ES9088898385672439501585,IberCaja,Rosendo Ricart Monreal,6210
ES8736888030623349200509,Sabadell,Gonzalo Gimeno Rey,7973
ES0794998927723543759246,BBVA,Calixto Carrasco Amigó,686
ES4070386962978032927505,Cooperativo,Leonel Borrell Mendizábal,3612
ES9206422160858254659110,Sabadell,Pascuala Salom Martí,8119
ES1516854647522105280414,Kutxa,Adela Roma,3208
ES6542687601318247080015,Cajamar,Jose Luna Boada,7526
ES3576949892775844261450,Kutxa,Juan José Aguirre Olivares,8690
ES8173937483940184984341,CecaBank,Natalia Jerez Ballesteros,8715
ES9252436905752995502569,BBVA,Adalberto Salvà,913
ES7658875301160054378465,Bankinter,Santos Belmonte Rius,7846
ES4955609198226936599491,BBVA,Arsenio de Miralles,8816
ES6499857171526990390507,Cajamar,Danilo Viña Balaguer,4612
ES3131933397896495386516,BBVA,Samu Serrano Matas,5362
ES2262125651202295477412,CecaBank,Marcelo Menendez Urrutia,7471
ES8031161118752431089614,Bankinter,María Teresa Cánovas Tejedor,570
ES1076361001322871045719,BancaMarch,Ale Egea Taboada,5467
ES6954542476180286452443,ING,Silvio Figueras Ballester,3118
ES2283839408291019820538,CaixaBank,Lilia Jódar Solana,2094
ES0279507011186315471964,IberCaja,Jacobo Uribe Cabello,2843
ES1853276964879801916285,IberCaja,Luís Cabezas Chamorro,7574
ES9303144680036558518848,Bankinter,Hortensia Cerdá Prats,5680
ES5194973084949539041433,ING,Rolando Santamaria Morcillo,3698
ES6993933384975940778998,CecaBank,Rosalinda Corral Blanca,8748
ES7676468051573067668280,IberCaja,Nazaret Lina Canals Campillo,4116
ES5611257946576739705411,Kutxa,Lola Corral Moles,9429
ES6374211886875288741097,Cooperativo,Andrés Sans Dalmau,4799
ES8429887307311418027734,CecaBank,Celestina Hernandez Lobato,2490
ES1449303594852128327922,Sabadell,Felipe Montenegro,5600
ES2175004280928194743218,IberCaja,Ramiro Baró Acuña,6328
ES0510429919150259046047,IberCaja,Pilar Rosselló-Guzmán,930
ES1609979210699625019263,Bankinter,Rosaura García Urrutia,3041
ES8288312864940819583426,BancaMarch,Violeta Gargallo Garzón,6780
ES3510831262146706027867,Bankinter,Cayetana Agudo Arana,6686
ES3356888786577215244101,ING,Bibiana Gutierrez Morillo,9735
ES8848698541381642404870,BancaMarch,Candelario Almazán Noriega,3217
ES4684546534357155862502,Kutxa,Dalila de Pereira,9799
ES4165412225405090682671,IberCaja,Piedad Comas Benet,4363
ES2481242798693984694620,CaixaBank,Chelo Cadenas,9959
ES7616000367571316738282,CaixaBank,Héctor Manuel Moliner Maza,1846
ES9805896325460540992378,Cooperativo,Alejandra Mendoza Cadenas,158
ES9125314134361514215247,Kutxa,Custodio Velasco Mayoral,8011
ES3658628870352255114282,Cajamar,Chuy Coll Palomo,9497
ES9039113841284947357218,BancaMarch,Geraldo Ordóñez Flor,1142
ES1129142402429058307389,Cajamar,Socorro Valera Roldan,3764
ES7532048670694710353315,BBVA,Ricarda Oliva Fabra,5870
ES2691498961784659823071,Kutxa,Paz Escobar Guardia,3453
ES0896554886648365960805,CecaBank,Ignacia Castell Coronado,7168
ES4241456047021151590598,BancaMarch,Jose Ignacio Castilla Mesa,6316
ES1520778269155349417684,Cooperativo,Balduino Lluch Pujol,6152
ES9374164179029556051389,Santander,Leonardo Coll Cantero,2769
ES2595109316682073267777,Deutsche Bank,Amando Blázquez Priego,5782
ES1350955720683910148803,BBVA,Íngrid de Bilbao,8714
ES5044741487906908110722,Santander,Victoria Costa Azorin,7568
ES1702355247015561643964,Cajamar,Leyre Bayón-Díaz,4180
ES2681165115115446581980,ING,Francisco Jose Caparrós Coll,8561
ES1376133187038310878759,BBVA,Baldomero Font Pereira,7273
ES9621427165959103802110,Cajamar,Angelino de Muñoz,2233
ES3186594052087019020991,BBVA,Gastón Sobrino Cabo,9644
ES3696473511009742408460,Deutsche Bank,Berta Madrigal Viana,2096
ES6371714952363391181230,Deutsche Bank,José Ángel de Estevez,6489
ES2785972305627285426797,IberCaja,Mireia Guijarro-León,6586
ES6626192095610317970002,Cooperativo,Édgar Pavón Clavero,3240
ES3694301391919026690615,BancaMarch,Encarnita Iglesia Carrasco,6242
ES9723456842304712306792,Cooperativo,David de Pla,4575
ES4673441444525351269420,BBVA,Edelmiro Portillo Zamora,6504
ES0213227033594257486926,Cajamar,Paca Peiró Cárdenas,5288
ES8902246927064853835077,Bankinter,Cipriano del Pombo,751
ES7022005277318745218939,Cajamar,Eugenio Barranco,4886
ES2557648427800898339712,Kutxa,Rafael Múgica Serra,5474
ES9323325563076679374928,Sabadell,Blanca Diéguez-Bou,7124
ES9023069426752475917524,Santander,Ofelia Valenzuela,4632
ES6029779959947039237743,Santander,Anselma Máxima Neira Álvaro,6068
ES9794100785322537207735,CaixaBank,Kike Molins Páez,2213
ES5134606995494435919977,Bankinter,Bárbara Falcó Acevedo,9118
ES9881071754628896646271,ING,Adelia Febe Pintor Comas,4251
ES5950682752509008786935,IberCaja,Balduino Ureña,3367
ES9797253429558093507139,Santander,Silvestre Medina Crespi,7265
ES2931129393163233910246,Bankinter,Soledad Torrens Gabaldón,324
ES6168603852814333551598,Bankinter,Juan Francisco Fonseca Ibáñez,1393
ES7353274993626044000621,Bankinter,Rosalva Echeverría Barroso,3852
ES9470005556989806756466,Cajamar,Vera Duran Muñoz,3879
ES6624895359201717381953,CecaBank,María Del Carmen Badía Cazorla,6095
ES5502938427458145989790,Sabadell,Juanita Yuste Piñol,1147
ES8281475710594154090527,IberCaja,Juan Carlos Flor Grau,9913
ES3369093734814396752210,BBVA,Jose Antonio Andrés Dominguez,2997
