iban,bank,name,ammount
ES8199630539001295023938,BancaMarch,Gabriela Burgos,2220
ES1713676701402303547074,Santander,Florinda Mulet,350
ES5264249929591322985489,BancaMarch,Albina Peñalver Ponce,1927
ES5090140140123885067686,CaixaBank,Raquel Saez Alvarez,6580
ES7683143745747838309576,ING,Baltasar Rodríguez Quesada,5100
ES1961500775373439068903,BancaMarch,Maristela Caro Pacheco,2552
ES6018613299558197660826,Kutxa,Chelo Raya Neira,1966
ES2347002634910192289126,CecaBank,Esmeralda de Múgica,1234
ES7514541984031993957292,BancaMarch,Fabricio Bárcena Tolosa,8985
ES0821581215001748660914,Cooperativo,Sonia Duarte Villalobos,121
ES0837042322713408408063,Kutxa,Emigdio Fiol Balaguer,2875
ES0380639118747470201404,ING,Lope Borrás-Canales,3389
ES2904097142635636902329,Deutsche Bank,Mirta del Royo,5401
ES8876783397914287246478,BancaMarch,Jose Carlos Juárez,7938
ES4772712309806052861055,CecaBank,Candelario del Ripoll,2051
ES6328477679100771076910,BancaMarch,Josué Hervás Caballero,7914
ES1852341467370994959706,Deutsche Bank,Borja Castrillo Castrillo,2029
ES9249037988153418784707,Santander,Visitación Haro-Sola,5740
ES2564781418385723243070,BBVA,Ildefonso Bolaños Calvet,8296
ES8850760233953585422285,Bankinter,Emperatriz Márquez Hoyos,903
ES8107978720120025639899,BBVA,Benita Llobet Heredia,4502
ES4370482103182006619718,Santander,Manola Solera Gimenez,1163
ES6732164163653368370055,BancaMarch,Florencia Borrell Varela,5447
ES5418360477167511637389,CaixaBank,Florencio Llorente Oliveras,9022
ES8868806334243824257911,CecaBank,Noemí Molina-Martorell,9697
ES3386224429165033321275,Kutxa,Roldán Tapia Chacón,5487
ES6399160082046528331944,BancaMarch,Daniela de Figueras,671
ES4759205918047628261782,Kutxa,Susana Cid-Mayoral,4255
ES7329016140829026963759,Santander,Laura Tecla Iriarte Cuesta,4081
ES3583658520567929204470,IberCaja,Haydée Huertas Castro,1821
ES8689151043690226920590,BBVA,Cristina Acedo Molins,5502
ES2147498079907915461704,Cajamar,Rico Adán Larrea,8871
ES4381769926719015441898,Santander,Jeremías Sanjuan Tapia,1179
ES0959370146947708211799,BBVA,Celestino Feijoo Carlos,1773
ES2594021893700818079950,Cajamar,Diego del Pastor,9472
ES3822129176829621515844,CecaBank,Marcio Sanabria Olivares,2620
ES7661345261298743755270,Cooperativo,Cecilia Fábregas Montalbán,3524
ES3893525776025008433715,CaixaBank,Adora Márquez Figuerola,7052
ES6406591088008707854735,CaixaBank,Poncio Girón Terrón,4507
ES9102686901818245487318,CecaBank,Anunciación Abella Hervás,8403
ES3801934042295928677699,Cooperativo,Selena Tatiana Prado Bayona,4215
ES7666366144691786308707,BancaMarch,Anselma Leticia Montesinos Juan,8269
ES6104447704893885743274,Santander,Anastasia Galiano Mir,975
ES6462467330405594189577,Santander,Ofelia Fernández Beltran,3901
ES1798080119975595987200,ING,Fortunato Ramón,8629
ES4113960954938566481822,Santander,Aurora Villaverde Tur,9077
ES7491438407547570184359,CecaBank,Jacinto Casas Suarez,3340
ES8151785618797882705655,Deutsche Bank,Raimundo Rodríguez Flores,8884
ES0840462794435486710202,Kutxa,María Fernanda Mancebo Chaves,776
ES3274468076025361224734,IberCaja,Néstor Guillen Arenas,5746
ES7679263935895382183293,Sabadell,Rafaela Terrón,6678
ES5652928566323114193893,Santander,Emperatriz Falcón Cepeda,3312
ES5440487833588593503917,Bankinter,Socorro Pinto-Sevilla,8310
ES5255175979279728702944,Sabadell,Plinio Cantero Olivé,4419
ES3830942083599696504415,IberCaja,Saturnino Zabaleta Cantón,6508
ES2427655213427985784389,CaixaBank,Quique Arjona Tello,2192
ES5230811904207369035556,IberCaja,Zaida Campoy Lledó,5002
ES2039215840830499088577,BBVA,Luis Ángel Ayuso Huguet,2078
ES3945332674299503576513,IberCaja,Encarnita Mosquera Gálvez,7812
ES7813104685232759368007,Cooperativo,Cipriano Neira Luz,6815
ES5887967467350786030636,Deutsche Bank,Daniela Simó,1977
ES4939778595328176759486,ING,Aureliano de Abella,8882
ES8093457695342078588421,IberCaja,Fortunata Piñeiro Casado,721
ES1732683078327909181875,Cajamar,Jose Carlos de Pallarès,8688
ES2603931421838558227821,Santander,Lorenzo Girona-Jódar,2776
ES0908485440175482585385,CaixaBank,Dolores Morales,8342
ES3932068355478831634790,BBVA,Juanita Neira Caro,2511
ES2157475945154989456024,BancaMarch,Lilia Ariza,6373
ES5120111022211609417885,Cajamar,Felicia Pina Catalán,6417
ES0539508018901243050644,Deutsche Bank,Benigna Fajardo-Tejada,3783
ES5675712663084702217387,Sabadell,María Jesús Pou,1620
ES1096406606517047803379,Kutxa,Cristina Bermúdez,4261
ES6263145172924590032095,CecaBank,Francisco Ródenas Sebastián,8205
ES3970057103253091321866,ING,Amando Puig Oller,8560
ES0737800322203702596967,Cooperativo,Diego Rovira-Vilaplana,9193
ES4586445783163432950748,BancaMarch,Adolfo Ledesma Ramírez,3072
ES7431221174293412952486,ING,Epifanio Cal Beltrán,6086
ES3537403103345025660748,Kutxa,Rodolfo Bejarano-Carbonell,7214
ES3295279470579122625408,Deutsche Bank,Carolina Calleja Flores,893
ES1386433707748509329676,IberCaja,Isa Pou Villar,3968
ES2688915477185633527995,Cooperativo,Apolinar Piñol,5674
ES6114435421505532087896,Bankinter,Graciela de Reyes,993
ES4870200766433758358191,Sabadell,Martirio Valverde-Manso,7322
ES8314803469176122629728,ING,Dorotea Felicidad Aragonés Quintana,7324
ES9438097915031945410538,CaixaBank,Cornelio Iborra Borrás,6796
ES2872699794760017324492,Deutsche Bank,Trinidad Rosado Ballester,9888
ES9733459694485613100651,Cooperativo,Clementina Álvarez Artigas,7755
ES0945182541895829810968,Bankinter,Nereida Arnau Arregui,9427
ES8727129653184017396694,ING,Edgardo Perez Mariño,2917
ES1252414826159532078728,CecaBank,Bernabé Mancebo Mir,5844
ES0631111035345301783994,Sabadell,Alfonso Ferrera Acosta,2860
ES5423312882139084023921,Deutsche Bank,Juanito Bermudez Montes,7933
ES2185561501330727867063,Sabadell,Baudelio Angulo Grande,2858
ES3186817436155085136751,BBVA,Mariano del Sanchez,4750
ES3624324597914006866737,BancaMarch,Marcos Gallo Espada,6584
ES2488632175967323419890,Sabadell,Almudena Suárez-Cabeza,5247
ES4471104227130766599253,CecaBank,Gertrudis del Tejedor,6051
ES7137017152573797771554,BBVA,Isabel Luís Cantero,1752
ES5639379682368035530390,ING,Adelina del Romero,905
ES2659000333255506152424,BBVA,Ambrosio Chamorro,9297
ES5106801758791512259684,Deutsche Bank,Guadalupe del Figuerola,8487
ES3991322226138929995671,Cooperativo,Gil Escrivá Cerdá,3763
ES5853324711597139138232,Cajamar,Macario Rogelio Cáceres Vázquez,2887
ES7067982559842987477839,Santander,Patricia Mancebo Valentín,8077
ES3872953726160153176646,CecaBank,Begoña Priscila Cruz Sánchez,3388
ES0785091118886784120969,Deutsche Bank,Abraham Ramirez Bartolomé,4226
ES6924252381974720395884,Bankinter,Merche Mayol Caballero,6471
ES6050567576123095269146,CecaBank,Lucio Atienza,9730
ES4273729273054677925977,Bankinter,Victorino Cardona Medina,2610
ES4777460248116149189002,Deutsche Bank,Hernán Tristán Suárez Blanch,8606
ES3698875320043547911743,ING,Florina Arroyo,6025
ES4285000665272038789457,Sabadell,Pepe Aguirre Elías,5708
ES3287289565721897060406,Bankinter,Florencio Casado Ayuso,6305
ES6365031711690957365862,Santander,Amador Calvet Figuerola,7213
ES0350637329659467942132,Sabadell,Faustino Bravo Alemany,4882
ES2052873214894129744302,BancaMarch,Emilia Otero Duque,3194
ES6880297072067894795979,Santander,Malena Quero Vazquez,7154
ES0993329044985171758254,Kutxa,Bárbara Rodrigo Olmo,6181
ES7426944343827200975659,CecaBank,Clara Portero,5636
ES5820230060788492997288,Deutsche Bank,Mireia Ayala Arroyo,3239
ES4179784988443232754978,BancaMarch,Ema Ropero Santiago,557
ES5527785661459074568212,Deutsche Bank,Quique Comas-Jimenez,895
ES1926984244963277188948,CecaBank,Benito Morillo Bru,1073
ES1512417231397334467227,BBVA,Domingo Gargallo Nieto,7884
ES7828718111272521195589,BBVA,Ariel Nieto Escudero,8319
ES3078366719962751904761,BBVA,Virginia Montenegro Tejera,3833
ES3350717337785828752065,IberCaja,Loida Carretero Frías,6896
ES2980087554571855198013,Santander,Godofredo Berrocal,5365
ES6965437095211054219228,BBVA,Melania María Carmen Manjón Serra,4315
ES4496584413338306431505,Santander,Abel Carreras Sosa,1476
ES6111991849049803040327,ING,Estrella Capdevila Guzman,5480
ES7183873431493362208468,ING,Nacio Adán Otero,2068
ES9548785335814199772215,BBVA,Águeda Cabanillas Melero,7832
ES6545443057454225436229,CecaBank,Jose Ramón del Vallejo,9801
ES3085936238743891816770,Sabadell,Vidal Manrique-Bastida,5652
ES0981294577226675231375,Cooperativo,Ximena Lupe Falcó Donoso,4320
ES8025339309128773039465,Deutsche Bank,Sabas Zamora Nogueira,6179
ES8124945382484837080144,Kutxa,Elodia Claudia Recio Torrijos,7775
ES7291671376971277880935,Cajamar,Azahara Casanova Piña,466
ES1399840154163908012321,ING,Godofredo Sacristán-Armas,6556
ES6536953796143525891764,CecaBank,Olivia Barón Montero,5630
ES0645615095951832290671,Kutxa,Fanny Folch Zaragoza,4629
ES5467603039828224400251,Santander,Julie Guerra-Palacios,6218
ES9131371408827654308319,IberCaja,Charo Silvia Tomás Álamo,8605
ES2794665209364797100714,BBVA,Maite Evita Vaquero Pavón,7668
ES8851645258374475113642,Santander,Rafaela Acevedo Polo,643
ES7780586383219371083829,Cajamar,Natividad Garzón-Benitez,1861
ES7080813642875680206101,Santander,Natividad Esmeralda Molins Benavente,2353
ES6801757855542077045237,IberCaja,Juan Manuel Zamorano Escalona,2208
ES9773471089049061952317,BBVA,Roberta Robles Escolano,8659
ES3100834614311530959575,Sabadell,Lupe Ferrero Hoz,7809
ES0957888624906877942545,CaixaBank,Hortensia Boada Manrique,9031
ES6007386622214485666095,BancaMarch,Teófilo del Colom,849
ES7125242711439907878238,Bankinter,Nazario Fiol,8329
ES2181246926018726653602,Cooperativo,Lucila de Mendez,2682
