iban,bank,name,ammount
ES9675447517760568647982,BancaMarch,Pepe Navarro Berrocal,7321
ES3778297424076343488233,Cajamar,Ambrosio Galvez Pascual,3324
ES2343769765715863943866,BBVA,Elena Macías-Calzada,1827
ES6241754638573988685749,Cajamar,Natalio Solé Amador,6758
ES6392173616135277862127,Deutsche Bank,Azahar Espejo-Tejedor,6242
ES1908368264965993218919,Deutsche Bank,Florentina Palomar Castillo,679
ES9719050220539336109972,Santander,Sandra Falcón-Castrillo,2805
ES4740465422398300392708,Cajamar,Melchor Herrero Navarrete,3253
ES5261828817472246102279,IberCaja,Claudio del Muñoz,6521
ES2028097981573375211646,Sabadell,Fabiola Mendoza Folch,1062
ES4996307284270152849941,Cajamar,Donato León Antúnez,6159
ES6458162218781618744167,Deutsche Bank,Gema Tovar Mínguez,7682
ES1458939025960542473994,Deutsche Bank,Dominga Taboada Zamorano,843
ES4510857978611570140084,Bankinter,Yolanda Sanmiguel Cazorla,3452
ES3207161174149763921778,Santander,Emilio Nogués Nicolás,7344
ES1967873888746445457077,BBVA,Mireia Gámez Nuñez,2998
ES6497942449719551033901,IberCaja,Santiago Acero Bru,756
ES3315055190424704412861,Santander,Emilio Navarrete Julián,2684
ES4283943460162464851150,Santander,Lucho Arnal Vilalta,3574
ES7039072084370381674344,BancaMarch,Ruth Perez,1762
ES5178953860162611880849,Kutxa,Concha Marín-Reyes,2383
ES0429201545858701214256,CaixaBank,Juanita Buendía,7590
ES5249266045134517183343,Cooperativo,Reina Egea Salinas,1915
ES6530229864962781444012,CecaBank,Catalina Barrera Pagès,3813
ES9317001726329135084756,CaixaBank,Santiago Higueras,2506
ES6712478970365082118753,IberCaja,Inocencio Alemany Solé,4367
ES5648824343596481867948,Kutxa,Teresita Iglesia Portero,7909
ES7358500701239839003186,BBVA,María Fernanda Villa Sosa,2683
ES8861244942428709711377,Kutxa,Eugenio Azorin Bosch,221
ES7311287029325515935489,BancaMarch,Marita Roda Nuñez,253
ES4443848540738219394616,Sabadell,Nieves Alarcón Pedraza,5160
ES8213925639116455217887,BBVA,Loreto Calleja Tamayo,7436
ES1576814169164971183931,Sabadell,Adriana Arenas Guitart,9641
ES2412591378530338160717,BancaMarch,Elvira Robles-Alvarado,4429
ES5676058118389449584719,CaixaBank,Blanca Evelia Chacón Noguera,2225
ES6108264858109723930556,CecaBank,Prudencio Seguí Gallart,4656
ES3379081251347015933998,BBVA,Lupe Alfonso Ruano,2229
ES5347870731883651055109,BancaMarch,Hilario Sarabia Bermúdez,6961
ES0614262594585510382812,BancaMarch,Patricia Zaida Fabra Armengol,9997
ES4350716391143308184668,Kutxa,Etelvina Macarena Canales Castañeda,5143
ES9706914464258439791315,Deutsche Bank,Edu Barrera Montaña,171
ES9598117194081259101647,CecaBank,Isa Pizarro Mate,2825
ES3771178113640482890740,Cooperativo,Félix Figuerola Pi,6400
ES4315608172532965965894,Deutsche Bank,Bernardo Calderon Pedraza,632
ES9584177283393744855024,Cajamar,Leonardo Carrión Mascaró,3540
ES2732087230091760527824,Deutsche Bank,Ariadna Bou Somoza,2504
ES1524920096594928348192,Sabadell,Estrella Verónica Losa Morera,7590
ES2736655155046498354406,IberCaja,Concha Ramos Vazquez,1722
ES7639171200323890742531,CecaBank,Fabiana Duran Ricart,5412
ES7933606289907302680183,BBVA,Lorenza Antúnez,5207
ES2891453084366807975447,BBVA,Amor Olalla Garriga Torres,9125
ES2024360726989911252977,Santander,Jacinto Cobo Noriega,2652
ES9662541367400098289145,CecaBank,Anastasio Báez Marí,4802
