iban,bank,name,ammount
ES7567236686994246000858,Deutsche Bank,Eulalia Fidela Escalona Laguna,7065
ES7864617072363149512350,Sabadell,Venceslás Bartolomé-Cárdenas,7049
ES2987854656532802699852,CaixaBank,Ainara Sanz-Arnaiz,3490
ES3804995062070288769524,ING,Paulino Clavero Melero,1719
ES6222253918372942649935,Kutxa,Juan Pablo Granados Nieto,2157
ES9667225738931620605981,BBVA,Obdulia Villalonga,7546
ES5079500496167508099802,Kutxa,Lázaro del Carbajo,6398
ES0633546967667864047024,Bankinter,Aitana Herrera Redondo,4250
ES2597071112255230910976,CecaBank,Charo Larrea Larrañaga,9779
ES4630897613252731450976,ING,Rosa Manjón Beltran,5997
ES9511174423346931931618,Kutxa,Octavia Navarrete Blanes,672
ES2017474590467334058610,Deutsche Bank,Santiago Anguita Guerra,2148
ES6954264844675643476441,Santander,Dulce Nogués Vargas,4970
ES6839807003093315617852,Kutxa,Victor Sedano Hoyos,9874
ES0692301446001356738045,Cajamar,Leire Ribes Amo,4003
ES1103817792517195480020,Cooperativo,Teo del Barriga,477
ES3035901177052010717150,IberCaja,José Ángel Santiago Camps,1833
ES9858308582383250241927,Cooperativo,Aureliano Escribano Bertrán,283
ES1273973481253156858894,BancaMarch,Noemí Feijoo Palacios,4949
ES7585603297070303071935,Bankinter,Pilar Rocha Ocaña,6338
ES2820207559180713123281,IberCaja,Clímaco Cabeza,2375
ES6294898155159135451793,CecaBank,Jose Carlos Alcaraz Torre,2569
ES2215461982013451627903,BancaMarch,Eulalia Galan Gallardo,121
ES1874705094214092293701,Sabadell,Wilfredo Cano,1745
ES1949389536493402168613,Sabadell,Graciana Barral Aguirre,6027
ES0760893627751208365618,Cajamar,Candela Palmira Boada Arias,3762
ES6399381497128753907366,Sabadell,Victorino Ortuño Valdés,4162
ES5477375269069501436721,BBVA,Epifanio del Rico,9698
ES8706485238612072088981,IberCaja,Curro Ledesma Corominas,7845
ES8951222944183624983918,BancaMarch,Agustín Lastra Chamorro,3772
ES5581619089959949863334,Cooperativo,Amada Alcolea Pujol,549
ES0433916901126675048671,CaixaBank,Adela Palomino,7025
ES0540646683563070080608,ING,Angelita Adadia Carranza,3063
ES9112094667085343033526,ING,Nereida Montero Morán,4507
ES6793727907391462671823,Santander,Ibán Bertrán Gibert,8598
ES6030039918681661223447,Cooperativo,Nicolás del Mendoza,625
ES5728581563500586673164,Kutxa,Jose Carlos Renato Carreño Camps,6349
ES2475448289191354133051,Sabadell,Manolo Cuadrado España,5192
ES4398801924339166538777,IberCaja,Noelia Mena Ariza,4524
ES3507186898314233112734,ING,Ulises Ferrera,203
ES2342952550371714706303,Cajamar,Albino Zamora Múñiz,5246
ES9777132798058898602923,Sabadell,Eva Ana Belén Sánchez Meléndez,3594
ES1747791873075266329378,Bankinter,María Pilar Teresa Pallarès Pallarès,2466
ES6972527622542939386632,CecaBank,Alex Jove Nogueira,4604
ES6148200325841415688433,BancaMarch,Azahar Carbonell,567
ES4012129400725376571812,Cajamar,Jose Antonio Garcés Gaya,9516
ES1180183496202761147593,Sabadell,Albano Ripoll Vigil,2076
ES2898737344497633190263,CecaBank,Calixta Cuesta Sierra,4093
ES1228567617332132764564,Santander,Maite Fabregat Soler,3405
ES1344012709065521442766,IberCaja,Guillermo Gilabert,8151
ES6716291132312542740967,Cooperativo,Alexandra Molina-Rojas,4558
ES2047418482399903051876,IberCaja,Arcelia Inés Arranz Piquer,3088
ES7883713947101051864277,Kutxa,Leire Marcia España Iglesias,2106
ES4358033440682420323975,Cooperativo,Lidia Camacho Pablo,972
ES1390371648486615040891,CecaBank,Cesar Goñi Blanco,6864
ES5042869791486611949058,Cooperativo,Francisco Javier Barco,266
ES5388560679924013695427,Santander,Jovita Gomila Puerta,7071
ES8066641311845172262004,Deutsche Bank,Ana Sofía Tomás Olivé,4731
ES4666310666392171187308,Cooperativo,Josefina Muñoz Haro,3719
ES3502792538058691106261,Sabadell,Anastasia Vicente Santana,1158
ES2194685869975679896920,BancaMarch,Rico de Arenas,4478
ES5058289246225850195104,Bankinter,Amparo Rodriguez Ballester,4628
ES2564367099321067180847,CecaBank,Gervasio Hernández Sabater,8249
ES7443374335823142406512,IberCaja,Delia Castejón Quirós,9995
ES9444620881848299408097,Cajamar,Poncio Vidal Chico Botella,4064
ES7107624084967516504037,Santander,Consuelo Mamen Aragonés Aguilar,2746
ES5167285774863349050387,Cajamar,Elisabet Mateos Palma,4849
ES5109886476450345227789,Cajamar,Luz Puig Catalá,2054
ES3540206363441643420862,Cajamar,Anacleto Toño Lobato Linares,3925
ES5413349551575347468142,Bankinter,Gerónimo Carrión Borja,5164
ES1688243837555227515323,Kutxa,María Pilar de Gomis,4864
ES9735606803827260223857,BancaMarch,Nieves Silva Alba,2889
ES2415589691957461030245,BBVA,Ibán Lopez Peláez,5318
ES3915642229761789135798,Deutsche Bank,Ildefonso Dueñas,6871
ES8288228877080944955316,ING,Coral Uribe Vázquez,5815
ES2814611015829548477519,Cooperativo,Pascual Nadal Heredia,6850
ES3142373151019335803174,Cooperativo,Elisabet Esmeralda Comas Casares,6959
ES3298193162712647220254,BBVA,Aránzazu Pomares Tomé,2314
ES0629024267308264048528,Bankinter,Tristán del Llorens,1888
ES3450047614202849558100,IberCaja,Fortunato Real,9195
ES4103082005221171770003,BBVA,Adelina Soriano-Tejera,6490
ES4896292812567602325619,BancaMarch,Saturnina Estrada Sanabria,7972
ES4345103313387168339928,BBVA,Armida Ariño Aguilera,9515
ES2178327553125487726882,Cajamar,Anabel Dominga Mendoza Quevedo,2100
ES3023999204346062233227,Cooperativo,Noé Caballero-Tenorio,1514
